Index,Label,X,Y,Feret,FeretAngle
619,mela_083_fov-01.tiff:0619-0477,56,177,18.111,96.34
181,mela_083_fov-01.tiff:0181-0111,715.05,542.55,17.117,96.71
263,mela_083_fov-01.tiff:0263-0156,539.5,498.222,16.125,97.125
596,mela_083_fov-01.tiff:0596-0449,442.214,204.714,16.125,97.125
719,mela_083_fov-01.tiff:0719-0578,477,76,14.142,98.13
733,mela_083_fov-01.tiff:0733-0594,86.145,59.855,14.142,98.13
318,mela_083_fov-01.tiff:0318-0192,979.284,462.775,18.248,99.462
633,mela_083_fov-01.tiff:0633-0488,288.425,166.142,12.166,99.462
162,mela_083_fov-01.tiff:0162-0098,971.038,555.628,17.263,100.008
278,mela_083_fov-01.tiff:0278-0166,386.547,487.849,17.263,100.008
508,mela_083_fov-01.tiff:0508-0360,494.472,293.472,17.263,100.008
662,mela_083_fov-01.tiff:0662-0516,170.321,137.821,11.18,100.305
721,mela_083_fov-01.tiff:0721-0581,377.951,72.637,16.279,100.62
72,mela_083_fov-01.tiff:0072-0050,589.26,603.236,15.297,101.31
260,mela_083_fov-01.tiff:0260-0153,554.214,499.786,15.297,101.31
275,mela_083_fov-01.tiff:0275-0162,591.7,492.3,10.198,101.31
533,mela_083_fov-01.tiff:0533-0384,249,270,10.198,101.31
190,mela_083_fov-01.tiff:0190-0110,869,543.5,9.22,102.529
259,mela_083_fov-01.tiff:0259-0149,726,504.5,9.22,102.529
316,mela_083_fov-01.tiff:0316-0189,781.605,463.947,13.342,102.995
398,mela_083_fov-01.tiff:0398-0242,804.136,411.833,13.342,102.995
620,mela_083_fov-01.tiff:0620-0476,213.955,177.455,17.464,103.241
128,mela_083_fov-01.tiff:0128-0076,956,578,8.246,104.036
454,mela_083_fov-01.tiff:0454-0288,286.016,365.79,12.369,104.036
528,mela_083_fov-01.tiff:0528-0381,437.026,273.158,16.492,104.036
564,mela_083_fov-01.tiff:0564-0419,401.175,235.8,16.492,104.036
566,mela_083_fov-01.tiff:0566-0419,100.5,235,12.369,104.036
603,mela_083_fov-01.tiff:0603-0453,356.78,201.14,12.369,104.036
62,mela_083_fov-01.tiff:0062-0042,693.707,611.431,11.402,105.255
133,mela_083_fov-01.tiff:0133-0078,973.473,575.419,11.402,105.255
232,mela_083_fov-01.tiff:0232-0135,820.154,518.615,11.402,105.255
237,mela_083_fov-01.tiff:0237-0136,871.019,517.241,11.402,105.255
727,mela_083_fov-01.tiff:0727-0590,56.478,64.167,18.682,105.524
160,mela_083_fov-01.tiff:0160-0093,731,560.5,7.28,105.945
582,mela_083_fov-01.tiff:0582-0435,477.076,219.227,14.56,105.945
50,mela_083_fov-01.tiff:0050-0035,750.129,619.157,10.44,106.699
61,mela_083_fov-01.tiff:0061-0042,523.577,612.231,10.44,106.699
331,mela_083_fov-01.tiff:0331-0198,744.812,455.688,13.601,107.103
598,mela_083_fov-01.tiff:0598-0450,219.957,203.814,13.601,107.103
3,mela_083_fov-01.tiff:0003-0011,518,643.214,16.763,107.354
132,mela_083_fov-01.tiff:0132-0082,930.331,571.903,19.925,107.526
687,mela_083_fov-01.tiff:0687-0543,81.761,110.63,19.925,107.526
53,mela_083_fov-01.tiff:0053-0042,470.538,612.123,23.087,107.65
170,mela_083_fov-01.tiff:0170-0101,685.292,552.792,9.487,108.435
199,mela_083_fov-01.tiff:0199-0116,654.214,538.143,6.325,108.435
222,mela_083_fov-01.tiff:0222-0128,851,526,6.325,108.435
678,mela_083_fov-01.tiff:0678-0531,65.871,122.214,15.811,108.435
726,mela_083_fov-01.tiff:0726-0585,74.743,69.446,14.866,109.654
492,mela_083_fov-01.tiff:0492-0339,289.125,314.688,11.705,109.983
23,mela_083_fov-01.tiff:0023-0022,1099.09,632.013,17.088,110.556
47,mela_083_fov-01.tiff:0047-0034,581.722,620.222,8.544,110.556
150,mela_083_fov-01.tiff:0150-0095,1124.105,559.36,17.088,110.556
311,mela_083_fov-01.tiff:0311-0187,261.037,467.232,17.088,110.556
567,mela_083_fov-01.tiff:0567-0421,441.76,232.62,17.088,110.556
581,mela_083_fov-01.tiff:0581-0436,335.262,218.476,17.088,110.556
41,mela_083_fov-01.tiff:0041-0036,446.643,617.571,22.472,110.854
749,mela_083_fov-01.tiff:0749-0621,120.052,32.776,13.928,111.038
669,mela_083_fov-01.tiff:0669-0525,188.738,128.405,19.313,111.251
131,mela_083_fov-01.tiff:0131-0078,835.769,575.654,10.77,111.801
294,mela_083_fov-01.tiff:0294-0173,703.167,480.643,16.155,111.801
689,mela_083_fov-01.tiff:0689-0542,57.94,112.06,10.77,111.801
707,mela_083_fov-01.tiff:0707-0564,407.083,90.083,10.77,111.801
568,mela_083_fov-01.tiff:0568-0422,201.33,231.33,18.385,112.38
688,mela_083_fov-01.tiff:0688-0542,100.913,111.565,18.385,112.38
212,mela_083_fov-01.tiff:0212-0128,512.5,525.81,13,112.62
395,mela_083_fov-01.tiff:0395-0239,908.21,414.661,13,112.62
522,mela_083_fov-01.tiff:0522-0372,162.929,282.071,15.232,113.199
79,mela_083_fov-01.tiff:0079-0054,950.429,600.036,17.464,113.629
611,mela_083_fov-01.tiff:0611-0466,78.5,188.536,17.464,113.629
696,mela_083_fov-01.tiff:0696-0553,488.891,100.848,19.698,113.962
166,mela_083_fov-01.tiff:0166-0098,641.25,555.25,12.083,114.444
167,mela_083_fov-01.tiff:0167-0098,879.463,555.352,12.083,114.444
39,mela_083_fov-01.tiff:0039-0029,1136.015,624.773,14.318,114.775
197,mela_083_fov-01.tiff:0197-0117,492.471,536.871,14.318,114.775
571,mela_083_fov-01.tiff:0571-0421,417.134,232.354,16.553,115.017
589,mela_083_fov-01.tiff:0589-0441,106.346,212.628,16.553,115.017
303,mela_083_fov-01.tiff:0303-0185,299.81,468.914,21.024,115.346
681,mela_083_fov-01.tiff:0681-0536,219.519,117.907,23.259,115.463
4,mela_083_fov-01.tiff:0004-0010,1131.905,644.581,15.652,116.565
44,mela_083_fov-01.tiff:0044-0034,835.882,620.088,13.416,116.565
179,mela_083_fov-01.tiff:0179-0107,638.269,546.769,11.18,116.565
264,mela_083_fov-01.tiff:0264-0156,613.329,498.378,17.889,116.565
322,mela_083_fov-01.tiff:0322-0192,598.75,461.833,6.708,116.565
425,mela_083_fov-01.tiff:0425-0260,865.3,394.3,8.944,116.565
717,mela_083_fov-01.tiff:0717-0577,117.6,76.5,17,118.072
17,mela_083_fov-01.tiff:0017-0016,828.733,637.233,12.53,118.61
709,mela_083_fov-01.tiff:0709-0565,30.933,88.433,12.53,118.61
101,mela_083_fov-01.tiff:0101-0061,388.22,592.3,10.296,119.055
157,mela_083_fov-01.tiff:0157-0093,890.25,560.667,10.296,119.055
215,mela_083_fov-01.tiff:0215-0127,681.808,526.769,10.296,119.055
679,mela_083_fov-01.tiff:0679-0533,463.708,121.009,20.591,119.055
708,mela_083_fov-01.tiff:0708-0563,469.107,90.036,10.296,119.055
537,mela_083_fov-01.tiff:0537-0391,314.663,263.724,18.358,119.358
313,mela_083_fov-01.tiff:0313-0182,685.5,471.744,8.062,119.745
756,mela_083_fov-01.tiff:0756-0633,96.667,20.167,8.062,119.745
665,mela_083_fov-01.tiff:0665-0521,138.593,132.389,21.954,120.069
93,mela_083_fov-01.tiff:0093-0058,438.586,596.271,13.892,120.256
256,mela_083_fov-01.tiff:0256-0150,501.806,504.278,13.892,120.256
369,mela_083_fov-01.tiff:0369-0222,876.382,431.882,13.892,120.256
586,mela_083_fov-01.tiff:0586-0439,169.594,215.156,13.892,120.256
659,mela_083_fov-01.tiff:0659-0518,219.462,136.135,19.723,120.466
699,mela_083_fov-01.tiff:0699-0555,481.085,99.292,19.723,120.466
119,mela_083_fov-01.tiff:0119-0081,1182.779,573.877,25.554,120.579
409,mela_083_fov-01.tiff:0409-0249,303.643,404.893,11.662,120.964
561,mela_083_fov-01.tiff:0561-0420,148.107,233.369,23.324,120.964
643,mela_083_fov-01.tiff:0643-0497,66.381,156.452,17.493,120.964
753,mela_083_fov-01.tiff:0753-0627,23.82,27.06,11.662,120.964
657,mela_083_fov-01.tiff:0657-0515,443.192,138.654,15.264,121.608
70,mela_083_fov-01.tiff:0070-0046,676.846,608.462,9.434,122.005
90,mela_083_fov-01.tiff:0090-0055,639.152,598.717,9.434,122.005
419,mela_083_fov-01.tiff:0419-0259,838.933,395.233,13.038,122.471
621,mela_083_fov-01.tiff:0621-0473,440.629,180.597,13.038,122.471
650,mela_083_fov-01.tiff:0650-0506,81.633,147.533,13.038,122.471
187,mela_083_fov-01.tiff:0187-0112,910.076,541.432,16.643,122.735
43,mela_083_fov-01.tiff:0043-0031,692.875,622.875,7.211,123.69
87,mela_083_fov-01.tiff:0087-0052,1184.06,601.5,10.817,123.69
467,mela_083_fov-01.tiff:0467-0297,329.967,356.9,7.211,123.69
541,mela_083_fov-01.tiff:0541-0394,463.885,260.05,14.422,123.69
613,mela_083_fov-01.tiff:0613-0464,361.13,189.611,10.817,123.69
618,mela_083_fov-01.tiff:0618-0473,90.389,181.389,14.422,123.69
638,mela_083_fov-01.tiff:0638-0494,226.588,159.647,14.422,123.69
666,mela_083_fov-01.tiff:0666-0519,76.329,134.557,14.422,123.69
744,mela_083_fov-01.tiff:0744-0612,135.833,42.361,14.422,123.69
658,mela_083_fov-01.tiff:0658-0519,97.219,134.465,23.022,124.38
332,mela_083_fov-01.tiff:0332-0200,797.396,454.062,19.416,124.509
597,mela_083_fov-01.tiff:0597-0451,427.518,202.755,19.416,124.509
149,mela_083_fov-01.tiff:0149-0093,436.5,560.5,15.811,124.695
161,mela_083_fov-01.tiff:0161-0095,813.406,558.969,12.207,124.992
233,mela_083_fov-01.tiff:0233-0135,897.426,519.204,12.207,124.992
478,mela_083_fov-01.tiff:0478-0318,317.016,336.5,12.207,124.992
624,mela_083_fov-01.tiff:0624-0478,294.367,175.867,12.207,124.992
204,mela_083_fov-01.tiff:0204-0124,1183.274,529.708,20.809,125.218
69,mela_083_fov-01.tiff:0069-0044,886.577,609.5,8.602,125.538
560,mela_083_fov-01.tiff:0560-0412,259.025,240.8,8.602,125.538
682,mela_083_fov-01.tiff:0682-0534,494.878,120.144,17.205,125.538
752,mela_083_fov-01.tiff:0752-0627,37,27.646,17.205,125.538
540,mela_083_fov-01.tiff:0540-0393,375.064,260.346,13.601,126.027
704,mela_083_fov-01.tiff:0704-0561,40.941,92.441,13.601,126.027
728,mela_083_fov-01.tiff:0728-0587,31.5,66.271,13.601,126.027
623,mela_083_fov-01.tiff:0623-0484,141.937,169.359,28.601,126.469
156,mela_083_fov-01.tiff:0156-0093,772.638,561.19,10,126.87
511,mela_083_fov-01.tiff:0511-0358,457.06,296.02,10,126.87
580,mela_083_fov-01.tiff:0580-0432,114.778,222.472,15,126.87
60,mela_083_fov-01.tiff:0060-0041,435.879,612.845,11.402,127.875
94,mela_083_fov-01.tiff:0094-0062,422.172,592.812,22.804,127.875
558,mela_083_fov-01.tiff:0558-0413,121.119,241.119,22.804,127.875
743,mela_083_fov-01.tiff:0743-0607,399.1,46.3,11.402,127.875
106,mela_083_fov-01.tiff:0106-0066,1157.656,588.233,17.804,128.157
383,mela_083_fov-01.tiff:0383-0233,778.441,421.01,17.804,128.157
711,mela_083_fov-01.tiff:0711-0572,85.696,81.739,17.804,128.157
