Index,Label,X,Y,Feret,FeretAngle
387,mela_083_fov-01.tiff:0387-0230,279.728,423.64,23.195,7.431
330,mela_083_fov-01.tiff:0330-0193,320.175,460.825,19.235,8.973
68,mela_083_fov-01.tiff:0068-0042,1198.965,612.407,18.248,9.462
182,mela_083_fov-01.tiff:0182-0106,952.868,548.211,15.297,11.31
211,mela_083_fov-01.tiff:0211-0124,354.144,529.167,15.297,11.31
287,mela_083_fov-01.tiff:0287-0165,314.75,489.115,20.396,11.31
710,mela_083_fov-01.tiff:0710-0562,320.955,91.47,14.318,12.095
449,mela_083_fov-01.tiff:0449-0280,365.547,374.035,18.439,12.529
228,mela_083_fov-01.tiff:0228-0130,964.705,523.977,17.464,13.241
730,mela_083_fov-01.tiff:0730-0586,347.907,68.074,17.464,13.241
544,mela_083_fov-01.tiff:0544-0393,300.071,260.214,12.369,14.036
16,mela_083_fov-01.tiff:0016-0013,587.288,641.076,15.524,14.931
348,mela_083_fov-01.tiff:0348-0205,763.587,448.326,11.402,15.255
720,mela_083_fov-01.tiff:0720-0574,324.591,80.409,14.56,15.945
292,mela_083_fov-01.tiff:0292-0167,918.857,486.31,17.72,16.39
21,mela_083_fov-01.tiff:0021-0015,427.077,639.192,10.44,16.699
306,mela_083_fov-01.tiff:0306-0178,715.804,475.63,10.44,16.699
340,mela_083_fov-01.tiff:0340-0200,822.1,453.46,10.44,16.699
431,mela_083_fov-01.tiff:0431-0265,307.929,388.643,10.44,16.699
189,mela_083_fov-01.tiff:0189-0109,769.727,545.205,15.811,18.435
355,mela_083_fov-01.tiff:0355-0211,355.475,443.15,15.811,18.435
397,mela_083_fov-01.tiff:0397-0237,334.7,417.2,12.649,18.435
462,mela_083_fov-01.tiff:0462-0294,445.328,359.672,12.649,18.435
503,mela_083_fov-01.tiff:0503-0347,207.857,307.143,12.649,18.435
615,mela_083_fov-01.tiff:0615-0462,409.708,191.458,9.487,18.435
349,mela_083_fov-01.tiff:0349-0206,893.75,447.875,14.866,19.654
54,mela_083_fov-01.tiff:0054-0035,937.591,618.864,11.705,19.983
103,mela_083_fov-01.tiff:0103-0060,399.5,593.682,11.705,19.983
214,mela_083_fov-01.tiff:0214-0124,610.778,529.722,8.544,20.556
428,mela_083_fov-01.tiff:0428-0261,916.111,392.389,8.544,20.556
470,mela_083_fov-01.tiff:0470-0305,337.605,348.763,8.544,20.556
375,mela_083_fov-01.tiff:0375-0223,708.565,430.274,13.928,21.038
