"","x.lowers","x.uppers","y.lowers","y.uppers"
"1",0,78.9,0,40.9
"2",0,78.9,41,81.9
"3",0,78.9,82,122.8
"4",0,78.9,122.9,163.8
"5",0,78.9,163.9,204.7
"6",0,78.9,204.8,245.6
"7",0,78.9,245.7,286.6
"8",0,78.9,286.7,327.5
"9",0,78.9,327.6,368.4
"10",0,78.9,368.5,409.4
"11",0,78.9,409.5,450.3
"12",0,78.9,450.4,491.2
"13",0,78.9,491.3,532.2
"14",0,78.9,532.3,573.1
"15",0,78.9,573.2,614.1
"16",0,78.9,614.2,655
"17",79,157.9,0,40.9
"18",79,157.9,41,81.9
"19",79,157.9,82,122.8
"20",79,157.9,122.9,163.8
"21",79,157.9,163.9,204.7
"22",79,157.9,204.8,245.6
"23",79,157.9,245.7,286.6
"24",79,157.9,286.7,327.5
"25",79,157.9,327.6,368.4
"26",79,157.9,368.5,409.4
"27",79,157.9,409.5,450.3
"28",79,157.9,450.4,491.2
"29",79,157.9,491.3,532.2
"30",79,157.9,532.3,573.1
"31",79,157.9,573.2,614.1
"32",79,157.9,614.2,655
"33",158,236.8,0,40.9
"34",158,236.8,41,81.9
"35",158,236.8,82,122.8
"36",158,236.8,122.9,163.8
"37",158,236.8,163.9,204.7
"38",158,236.8,204.8,245.6
"39",158,236.8,245.7,286.6
"40",158,236.8,286.7,327.5
"41",158,236.8,327.6,368.4
"42",158,236.8,368.5,409.4
"43",158,236.8,409.5,450.3
"44",158,236.8,450.4,491.2
"45",158,236.8,491.3,532.2
"46",158,236.8,532.3,573.1
"47",158,236.8,573.2,614.1
"48",158,236.8,614.2,655
"49",236.9,315.8,0,40.9
"50",236.9,315.8,41,81.9
"51",236.9,315.8,82,122.8
"52",236.9,315.8,122.9,163.8
"53",236.9,315.8,163.9,204.7
"54",236.9,315.8,204.8,245.6
"55",236.9,315.8,245.7,286.6
"56",236.9,315.8,286.7,327.5
"57",236.9,315.8,327.6,368.4
"58",236.9,315.8,368.5,409.4
"59",236.9,315.8,409.5,450.3
"60",236.9,315.8,450.4,491.2
"61",236.9,315.8,491.3,532.2
"62",236.9,315.8,532.3,573.1
"63",236.9,315.8,573.2,614.1
"64",236.9,315.8,614.2,655
"65",315.9,394.7,0,40.9
"66",315.9,394.7,41,81.9
"67",315.9,394.7,82,122.8
"68",315.9,394.7,122.9,163.8
"69",315.9,394.7,163.9,204.7
"70",315.9,394.7,204.8,245.6
"71",315.9,394.7,245.7,286.6
